;;;→Unit;kJ/100g;kJ/100g;kcal/100 g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (µg/100g);µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;µg/100g;mg/100g;µg/100g;mg/100g;µg/100g;µg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml;No Unit;;;
Ål, rå;Eel, raw;1248;1248;1282;1282;310;310;15,1;15,5;15,1;0,0;0,0;0,0;0,0;27,7;0,0;0,1;1,0;43,8;56,2;1800,0;1800,0;0,0;;30,00;30,00;;;;8,00;8,00;;;;;0,00;;;;;;;;;0,0;0,15;;0,31;6,70;3,80;0,24;0,14;;14;;4,40;1,00;1,00;;46,0;256,0;35,0;15,0;470,0;0,4;0,0;2,0;0,0;1,6;4,8;1;26,3;0,20;0,00;30,00;200;0,0;;0,00;13,36;;1,18;9,63;58,58;0,22;0,47;;552;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,91;13,60;7,27;;;25,90;;;108;3,06;856;1314;1803;520;144;733;642;825;174;1008;1100;642;1161;1681;2506;1161;764;1070;;;7875;10228;;;65;;;;;;;;13,3;6,25;0,935;;;73;Fed fisk;Oily fish
Rosin uden kerner;Raisin , seedless;880;880;1412;1315;333;310;3,2;1,5;3,2;78,3;74,7;69,0;3,6;1,6;0,0;0,0;1,7;84,9;15,1;4,7;0,0;28,0;;0,00;0,00;;;;0,00;0,00;;;;;;;;;;;;;;;0,09;;0,03;0,60;0,50;0,11;0,14;0,00;4;4;0,00;3,30;3,30;;9,0;785,0;45,1;35,0;;2,4;0,3;0,3;0,3;8,8;0,0;;0,4;;;;107;;;;2,00;;17,83;0,70;5,10;0,21;1,40;;984;34,38;;33,93;68,30;;;0,55;0,55;;68,85;0,00;0,00;0,14;0,14;0,00;;;;;;1,28;;;;;;;;;;;;;;;;;0,01;;0,45;;0,06;;;;;;;;;;;;0,06;;;;;;;;;;;;;0,36;;0,11;;;;;;;;;;;;;;;;;;;0,52;0,06;0,47;;;1,06;0,11;0,36;0;0,52;62;98;93;17;8;62;13;72;6;93;404;62;114;109;150;83;212;67;;;566;1160;0,010;;11,1;;;;;;;0,01;0,0;6,25;0,660;;;184;Tørrede frugt og bær produkter;Dried fruit and berry products
Vandmelon, rå;Watermelon, raw;36;36;140;132;33;31;0,8;0,4;0,8;7,5;7,0;6,5;0,5;0,1;0,0;0,0;0,3;8,7;91,3;3,3;0,0;20,0;;0,00;0,00;;;;0,05;0,05;;;;;0,00;;;;;;;;;0,0;0,02;;0,02;0,21;0,18;0,05;0,30;0,00;3;2;0,00;11,30;9,60;1,70;6,7;146,0;4,4;8,4;60,0;0,3;0,0;0,1;0,0;0,0;0,0;0;0,0;0,00;0,00;0,00;20;0,0;;0,00;0,15;;7,00;0,20;3,00;1,00;3,00;;186;3,43;;1,83;5,27;;;1,23;1,23;;6,50;0,00;0,00;0,00;0,00;0,00;;;;;;0,30;0,20;;;;;;;;;;;;;;;;;;0,02;;0,00;;;;;;;;;0,00;;;0,01;;;;;;;;;;;;;0,01;;0,02;;;;;;;0,00;;;;;;;;;;;;0,02;0,01;0,03;;;0,07;0,02;0,01;0;0,13;24;23;81;8;3;3;3;35;2;20;76;8;22;50;82;13;31;20;;;203;299;;0,06;4,1;;;;;;;0,06;34,0;6,25;0,700;;;52;Sydfrugt;Tropical or subtropical fruit
Porre, rå;Leek, raw;824;824;146;129;35;31;2,0;1,3;2,0;7,8;4,7;3,7;3,2;0,2;0,0;0,0;0,8;10,8;89,2;35,7;0,0;214,0;;0,00;0,00;;;;0,51;0,51;;;;;;;;;;;;;;;0,08;;0,07;0,80;0,50;0,29;0,14;2,75;82;;0,00;23,95;23,33;0,63;7,4;259,6;48,2;10,3;;0,5;0,0;0,3;0,2;0,4;10,0;;0,2;;;;40;;;;0,81;;2,04;0,01;0,14;1,81;0,43;;366;2,10;;1,51;3,61;0,00;0,00;0,07;0,07;0,00;3,68;0,00;0,00;;;0,00;1,18;0,15;;;;;;;;;;;;;;;;;;;;;;;0,05;;0,00;;;;;;;;;;;;0,01;;;;;;;;;;;;;0,10;;0,03;;;;;;;;;;;;;;;;;;;0,05;0,01;0,12;;;0,18;0,03;0,10;0;0,31;59;103;109;22;10;50;29;59;18;75;94;30;112;159;378;56;56;72;;;527;967;0,000;;9,5;;;;;;;0;35,6;6,25;0,800;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
Broccoli, kogt;Broccoli, boiled;914;914;148;130;35;31;2,4;;2,4;7,2;3,9;2,8;3,3;0,4;0,0;0,1;0,8;10,8;89,3;154,8;0,0;929,0;;;;;;;1,45;1,45;;;;;;;;;;;;;;;0,06;;0,12;1,00;0,55;0,20;;;108;;0,00;39,60;37,00;2,60;41,0;293,0;40,0;21,0;;0,7;0,1;0,5;;;;;1,6;;;;67;4,0;;;;;;;;;;;463;;;;;;;;;;2,00;;;;;0,80;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,06;0,00;0,01;0,00;;0,01;;;;0,00;0,00;0,01;;;0,03;;;0,00;;0,00;;;;;;;;0,06;;0,14;;0,00;0,00;0,00;;;0,00;0,00;;;;;0,00;;0,00;;;;0,09;0,04;0,19;;;0,33;0,14;0,06;0;0,38;91;126;122;34;27;88;;103;27;114;149;53;;;;;;;;;1685;389;;;40,1;;;;;;;;0,0;6,25;0,800;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
Løg, rå;Onion, raw;716;716;183;130;43;31;1,2;0,7;1,2;10,3;8,4;5,4;1,9;0,1;0,0;0,0;0,5;12,1;87,9;5,0;0,0;30,0;;0,00;0,00;;;;0,06;0,06;;;;;;;;;;;;;;;0,04;;0,01;0,44;0,19;0,17;0,10;0,95;36;15;0,00;8,09;7,76;0,32;2,7;186,1;23,3;9,2;;0,3;0,0;0,2;0,2;0,0;0,0;;0,1;;;;31;;;;0,15;;2,91;0,00;0,20;2,27;0,13;;253;1,70;;2,03;3,73;0,00;0,00;1,64;1,64;1,30;5,36;0,00;0,00;;;0,00;0,86;0,07;;;;;;;;;;;;;;;;;;;;;;;0,02;;;;;;;;;;;;;;0,01;;;;;;;;;;;;;0,03;;0,00;;;;;;;0,00;;;;;;;;;;;;0,02;0,01;0,04;;;0,07;0,00;0,03;0;0,20;24;42;40;9;8;28;14;22;15;30;169;14;28;74;263;26;17;22;;;224;621;0,010;;6,1;;;;;;;0,01;11,5;6,25;0,800;;;39;Rod- og knoldgrøntsager;Root and tuber vegetables
Perleløg, dybfrost;Pearl onion. frozen;1837;1837;132;127;32;31;1,2;0,7;1,2;10,8;2,7;2,5;8,1;0,0;0,0;0,0;0,6;12,6;87,4;0,0;0,0;0,0;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,17;0,00;0,09;0,11;1,40;10;;;4,56;;;13,0;220,0;48,5;11,5;;0,6;0,1;0,3;0,2;0,0;2,9;;0,0;;;;36;;;;0,00;;;;;;;;329;0,70;;1,05;1,75;0,00;0,00;0,70;0,70;;2,45;;;;;0,00;;;1,55;0,00;6,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;0;35;62;0;8;17;0;21;10;22;215;0;27;72;237;31;0;22;0;0;167;612;;;5,5;;;;;;;;0,0;6,25;;;;192;Frosne grøntsager;Frozen vegetables
Broccoli, rå;Broccoli, raw;17;17;148;130;35;31;3,6;;3,6;6,3;3,1;2,1;3,2;0,2;0,0;0,0;1,0;11,1;88,9;88,8;0,0;533,0;;0,00;0,00;;;;1,45;1,45;;;;;260,00;;;;;;;;;260,0;0,09;;0,11;1,23;0,57;0,22;0,69;7,35;239;;0,00;116,69;111,50;5,19;12,4;389,0;44,4;20,8;;0,7;0,1;0,4;0,3;0,3;0,0;;2,4;;;;78;;;;0,16;;9,47;0,01;0,42;0,88;0,26;;546;1,05;;0,93;1,98;;0,00;0,09;0,09;0,00;2,07;0,00;0,00;;;0,00;0,83;0,03;;;;;;;;;;;;;1,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,19;;;0;0,57;137;188;182;51;40;131;;154;40;171;222;80;;;;;;;;;1132;262;0,010;0,02;18,7;;;;;;;0,03;17,1;6,25;0,800;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
Lime, rå;Lime, raw;464;464;155;130;37;31;0,7;;0,7;6,0;3,2;1,7;2,8;0,2;0,0;0,0;0,3;11,7;88,3;1,0;0,0;6,0;;0,00;0,00;;;;0,24;;;;;;;;;;;;;;;;0,03;;0,02;0,25;0,20;0,04;0,22;;8;;0,00;29,10;29,10;;2,0;102,0;33,0;6,0;;0,6;0,1;0,1;0,0;;;;0,2;;;;18;;;;0,00;;;;;;;;162;;;;;;;;;;1,70;0,00;0,00;;;0,00;;;;;;0,50;;;;;4,58;;;;;4,58;0,00;0,00;0,00;0,00;0,00;;0,00;;0,02;;0,00;;;;;;;;;0,00;;;0,02;;;0,00;;0,00;;;;;;;;0,04;;0,02;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,02;0,02;0,06;;;0,11;0,02;0,04;0;0,11;;;13;2;;;;;3;;;;;;;;;;;;18;;;;5,1;;;;;;;;16,0;6,25;0,530;;;52;Sydfrugt;Tropical or subtropical fruit
Quinoa, sort, rå;Quinoa, black, raw;1726;1726;1461;1300;347;309;12,0;10,0;13,7;67,2;53,3;42,3;13,9;6,5;0,0;0,0;2,5;88,2;11,8;0,0;0,0;;;0,00;0,00;0,00;0,00;0,00;2,33;2,33;0,00;5,96;0,00;;3,08;;;;;;;;;3,1;0,06;;0,29;2,78;0,73;0,14;1,02;24,50;196;;0,00;;;;1,2;870,0;46,5;175,0;;3,8;0,5;2,8;4,2;9,0;19,0;;4,6;;;;415;;;;0,00;;60,00;0,00;0,00;4,00;0,00;;1511;0,10;0,00;1,05;1,15;0,00;0,00;2,05;2,05;;3,20;;;;;39,06;;;12,45;1,05;0,35;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,18;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,48;;0,23;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;;0,00;0,00;0,00;0,00;;;0,00;0,51;1,18;2,71;0,00;;4,40;0,23;2,48;;2,19;481;827;764;305;216;532;404;482;167;617;1090;381;591;1100;1810;738;524;618;0;;4556;7091;;;70,2;;;;;;;;0,0;5,5;0,682;;;28;Korn og gryn;Grain and groats
Æg, blomme, tilsat sukker, pasteuriseret, dybfrost;Egg, hen, yolk, sugar added, pasteurized, frozen;1210;1210;1303;1282;313;309;14,2;12,0;14,2;11,5;11,5;10,3;0,0;23,4;0,0;0,1;1,4;50,5;49,5;428,0;428,0;0,0;;3,95;3,95;;;;10,11;10,11;;;;0,8;0,70;;;;;;;;;0,7;0,18;;0,35;3,58;0,10;0,22;3,13;;109;;2,70;0,00;0,00;;56,0;83,0;108,0;12,0;;3,9;;2,4;;;;;;;;;357;;;;;;;;;;;;620;;;0,30;0,30;;;10,00;10,00;;10,30;10,00;10,00;;;0,00;0,00;0,00;;;;0,00;0,00;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,07;;5,20;;1,81;;;;;;;;;0,78;;;8,67;;;;;;;;;;;;;2,62;;0,07;;;;;;;0,20;;;;;;;;;;;;7,08;9,45;2,89;;;19,42;0,07;2,82;1158;2,27;818;1204;954;386;273;659;613;750;209;886;977;341;727;1181;1772;432;591;1159;;;6207;7725;;;669;;;;;;;;0,0;6,25;0,830;1,035;;88;Flydende æg;Liquid egg
Quinoa, hvid, rå;Quinoa, white, raw;1724;1724;1525;1297;362;308;11,7;9,8;13,3;68,1;59,8;44,8;8,3;6,6;0,0;0,0;2,2;88,6;11,4;0,0;0,0;;;0,00;0,00;0,00;0,00;0,00;2,25;2,25;0,00;3,66;0,00;;0,00;;;;;;;;;;0,35;;0,37;3,00;0,91;0,21;1,12;33,45;239;;0,00;;;;1,2;680,0;41,0;180,0;;3,6;0,5;2,9;3,4;6,0;14,9;;1,1;;;;420;;;;0,00;;68,60;0,00;0,00;4,00;0,00;;1326;0,25;0,00;0,90;1,15;0,00;0,00;1,90;1,90;;3,05;;;;;41,75;;;6,50;1,10;0,70;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,12;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,23;;0,26;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;;0,00;0,00;0,00;0,00;;;0,00;0,46;1,12;2,49;0,00;;4,07;0,26;2,23;;2,13;468;803;767;273;232;524;407;476;180;592;1140;377;556;1090;1760;702;489;568;0;;4460;6944;;;70,2;;;;;;;;0,0;5,5;0,621;;;28;Korn og gryn;Grain and groats
Sirup;Syrup, kitchen;1098;1098;1307;1309;308;308;0,3;;0,3;76,6;76,6;76,7;0,0;0,0;0,0;0,2;1,1;78,0;22,0;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,01;0,10;0,10;0,00;0,00;0,00;0;;0,00;0,00;0,00;;75,0;220,0;75,0;34,0;;2,5;0,2;0,1;0,1;5,0;;;1,0;;;;3;;;;5,00;33,00;30,00;;;;;;409;;;;;;;;;;76,70;76,70;76,70;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;;;;0,00;0,00;0;0,05;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,0;6,25;0,700;1,400;;101;Andre sukkervarer;Other sweet products
Smelteost, 45+;Cheese, processed, 45 % fidm.;98;98;1275;1276;307;307;22,4;19,8;22,0;0,0;0,0;0,4;0,0;24,2;0,0;1,3;5,0;51,5;48,5;224,0;206,0;108,0;;0,25;0,25;;;;0,59;0,59;;;;;1,03;6,10;0,11;0,23;0,62;4,15;17,51;1,0;20,1;21,1;0,09;;0,43;5,26;0,10;0,03;0,40;1,50;7;3;1,00;0,00;0,00;;534,9;106,1;630,2;26,1;;0,3;0,2;2,8;0,0;0,8;6,0;;9,2;;;;805;;920,00;;14,80;;2,25;0,10;1,00;0,01;0,45;;3023;0,00;0,00;0,00;;0,45;;0,00;0,45;;0,45;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,78;0,52;0,32;0,69;0,83;;2,44;0,21;6,71;;2,43;;;;;;;0,27;;0,42;;0,23;4,88;;;0,28;;;;;;;0,77;;;0,43;0,09;0,14;;;;;;;;;;;;;;;;0,15;;0,27;14,94;6,09;0,65;0,92;;22,86;0,14;0,43;81;3,52;1231;2075;1793;633;81;1160;1231;774;309;1512;703;633;703;1582;4396;457;2356;1266;;;10120;12775;3,200;0;36,2;3;;;;;;6,2;0,0;6,38;0,945;;;17;Smelteost;Processed cheese
Rugmel, groft, fuldkornsrugmel;Rye flour, dark, wholemeal;60;60;1403;1295;333;307;8,7;7,4;9,4;76,6;61,8;54,8;14,8;2,3;0,0;0,0;1,6;89,2;10,8;0,0;0,0;0,0;;0,00;0,00;;;;0,80;0,80;;;;1,1;0,00;;;;;;;;;0,0;0,33;;0,11;1,82;1,70;0,28;0,49;6,00;74;36;0,00;0,00;0,00;;5,1;438,0;33,3;92,6;1400,0;2,8;0,3;2,8;2,2;4,0;10,0;2;1,5;1,10;4,00;250,00;301;140,0;;2300,00;4,60;140,00;6,80;0,43;2,02;0,81;1,80;;873;0,23;;0,22;0,45;0,00;0,07;1,80;1,87;;2,32;0,00;0,00;;;52,52;1,50;0,70;;;;;;;;;;;;;;;;;;;;;;;0,30;;0,00;;;;;;;;;;;;0,23;;;;;;;;;;;;;1,01;;0,14;;;;;;;0,00;;;;;;;;;;;;0,30;0,23;1,15;;;1,68;0,14;1,01;0;1,50;344;599;374;147;136;419;225;329;109;509;494;225;419;644;1962;419;779;419;;;3056;5497;;;30,4;;;;;;;;0,0;5,83;0,730;0,550;;30;Mel og klid;Flour and bran
Bygmel;Barley flour, raw;1294;1294;1428;1291;338;306;9,2;8,4;9,9;72,3;64,7;56,0;7,6;3,0;0,0;0,0;1,5;86,0;14,0;0,0;0,0;0,0;;0,00;0,00;;;;0,25;0,25;;;;;;;;;;;;;;;0,33;;0,11;1,92;5,70;0,33;;;;;0,00;0,00;0,00;;2,5;360,0;23,0;89,0;280,0;4,5;0,6;2,8;1,6;2,0;10,0;1;1,0;1,03;34,00;90,00;300;50,0;;200,00;5,00;120,00;10,00;0,20;3,00;2,00;3,00;;779;;;;;0,00;;0,00;0,00;;0,00;0,00;0,00;;;56,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,01;0,00;0,51;0,00;0,01;0,00;;0,00;;;;0,00;0,00;0,00;0,00;;0,25;;;0,00;;0,00;;;;;;;;1,24;;0,13;;;;0,00;;;0,00;0,00;;;;;0,00;;0,00;;;;0,53;0,26;1,37;;;2,16;0,13;1,24;0;1,58;410;742;347;158;189;537;268;331;115;568;442;237;410;537;2367;363;1199;473;;;3445;6249;;;37,8;;;;;;;;0,0;5,83;0,720;0,610;;30;Mel og klid;Flour and bran
Camembert, 50+;Cheese, Camembert, 50 % fidm.;1277;1277;1264;1266;305;305;17,5;17,2;17,5;0,0;0,0;0,1;0,0;26,1;0,0;1,4;3,2;46,8;53,2;242,2;223,0;115,0;;0,27;0,27;;;;0,67;0,67;;;;;1,21;5,05;0,32;0,47;1,42;12,82;20,98;0,8;27,3;28,5;0,05;;0,45;6,29;1,80;0,25;1,36;6,00;62;3;1,13;0,00;0,00;;569,9;97,8;490,0;20,0;;0,2;;2,4;0,0;0,3;6,0;1;7,0;;;;400;;916,00;;10,44;;4,96;0,06;1,00;0,01;0,45;;2494;;;;;0,10;;;0,10;;0,10;0,00;0,00;;;0,00;;;;;;;;;;;;;;;0,65;;0,89;0,57;0,37;0,82;1,02;;2,89;;7,73;;2,64;;;;;;;0,37;;0,57;;;5,80;;;0,30;;;;;;;;;;0,54;;0,20;;;;;;;;;;;;;;;;;;;16,93;7,04;0,74;;;24,70;0,20;0,54;79;3,06;1071;1805;1560;551;70;1010;1071;673;269;1315;612;551;612;1377;3824;398;2050;1101;;;8804;11114;3,300;0;15,4;14,5;;12,5;24,5;;;54,8;0,0;6,38;0,945;;;14;Blød løbeost;Soft rennet cheese
Gedeost, blød, 45-55+;Goat cheese, soft, 45-55% fidm.;1775;1775;1288;1261;311;304;17,8;;17,5;2,1;2,1;0,8;0,0;25,7;0,0;1,4;2,9;48,5;51,5;262,0;262,0;0,0;;0,36;;;;;0,83;0,83;;;;;1,94;5,83;0,37;1,13;1,09;7,66;31,49;1,9;31,8;33,7;;;;;;;;;;;;;;;566,7;63,2;339,6;22,3;;0,1;0,1;1,4;0,0;0,3;;;10,8;;;;265;;1093,33;;59,97;;1,13;;;;;;2350;0,10;0,05;0,08;0,22;0,63;;0,00;0,63;;0,85;;;;;0,00;;;;;;;;;;;;;;;;;0,46;0,53;0,57;1,95;1,07;;2,24;0,21;6,00;;2,30;;;;;;;0,00;;0,16;;0,19;5,07;;;;;;;;;;0,68;;;0,81;0,09;0,11;;;;;;;;;;;;;;;;0,18;;0,19;15,34;5,42;1,02;0,86;;22,83;0,11;0,81;85;2,79;;;;;;;;;;;;;;;;;;;;;;;;;15,4;;;;;;;;0,0;6,38;0,890;;;14;Blød løbeost;Soft rennet cheese
Likør, Curacao;Liqueur, Curacao;478;478;1243;1266;297;303;0,0;;0,0;25,5;25,5;26,9;0,0;0,0;27,9;0,0;1,0;54,4;45,6;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;;;0;0;0,00;0,00;0,00;;3,0;;;;;;0,0;0,2;;;;;;;;;;;;;;;;;;0,10;1,60;;3;;;;;;;;;;26,90;26,90;26,90;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,0;6,25;0,800;1,052;;115;Likør;Liqueurs
Frugtpålæg, uspec.;Dried fruits spread, average values;859;859;1349;1275;320;303;2,7;1,9;2,7;69,0;61,1;56,7;7,9;5,6;0,0;0,1;1,7;79,0;21,0;9,5;0,0;56,9;;0,00;0,00;;;;1,02;1,02;;1,71;0,16;0,3;0,00;;;;;;;;;0,0;0,06;;0,10;1,42;0,86;0,12;0,53;0,63;12;6;0,00;0,76;0,76;;56,8;843,7;138,0;75,4;;1,7;0,2;2,2;0,5;25,7;0,0;;0,6;;;;70;;;;1,27;;92,65;0,32;0,19;1,33;5,13;;1186;25,89;;28,93;54,82;0,00;0,00;1,06;1,06;;55,88;0,00;0,00;0,63;0,63;0,19;;;;;;;;;;;;;;;;;0,00;0,00;0,05;0,05;0,65;;0,23;;0,29;;0,09;;;;;;;;;0,01;;;1,49;;;0,02;;0,00;;;;;;;;0,73;;0,26;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;1,37;1,53;0,98;;;3,89;0,26;0,73;0;0,44;78;118;100;25;48;70;96;78;34;105;70;39;157;523;262;100;170;122;;;647;1548;0,009;0,8;15,8;;;;;;;0,809;0,0;6,25;0,700;;;184;Tørrede frugt og bær produkter;Dried fruit and berry products
Grisekød, stegestykke af bryst, uden svær, ca. 2 mm spæk, rå;Pork, thick belly, defatted, approx. 2 mm rind, raw;1201;1201;1255;1255;303;303;15,5;12,3;15,5;0,0;0,0;0,0;0,0;26,8;0,0;0,1;0,7;43,0;57,0;0,0;0,0;0,0;;0,49;0,20;;0,12;;0,10;0,10;;;;;0,00;;;;;;;;;0,0;0,48;;0,16;5,23;2,40;0,20;0,60;2,60;2;;0,65;0,00;0,00;;57,0;190,0;5,0;13,0;;0,5;0,1;3,6;0,0;5,3;10,0;;6,9;;;;90;;;;0,80;;2,50;0,13;2,00;1,90;5,60;;356;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;0,40;0,00;6,80;0,00;3,46;;;;;;;;;0,86;0,00;;10,99;;;0,17;;;;;;;;;;1,82;;0,15;;;;0,00;;;0,00;0,00;;;;;0,00;;;;;;10,66;12,02;1,97;;;24,66;0,15;1,82;73;2,50;750;1125;1375;375;103;575;525;650;170;825;925;575;925;1375;2025;800;625;600;;;6420;7903;;;88,9;;;;;;;;0,0;6,25;0,920;;;60;Grisekød (Svinekød);Pork
Honning;Honey;1176;1176;1391;1282;327;302;0,3;;0,3;81,5;81,5;75,1;0,0;0,0;0,0;0,0;0,2;82,0;18,0;0,0;0,0;0,0;;0,00;0,00;;;;0,00;0,00;;;;;25,00;;;;;;;;;25,0;0,00;;0,10;0,12;0,10;0,16;0,07;0,00;0;;0,00;1,10;1,10;;11,0;51,0;5,0;2,9;;0,4;0,0;0,4;0,4;5,0;0,0;;0,0;;;;7;;;;0,50;;9,00;0,02;0,00;0,09;2,63;;78;38,80;;33,90;72,70;;;2,40;2,40;;75,10;0,00;75,10;;;0,00;;;;;;;;;;;;;;;0,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;;;;0,00;0,00;0;0,05;;;;;;;;;1;;;;;;;;;;;;1;;;;2,2;;;;;;;;0,0;6,25;0,800;;;103;Honning;Honey
Wienerpølse, ristet, fastfood;Frankfurt sausage, fried, fast food;1192;1192;1208;1245;292;300;14,0;11,4;14,0;2,4;2,2;4,3;0,2;25,2;0,0;2,7;3,2;44,8;55,2;0,0;0,0;0,0;;0,46;0,18;;0,11;;0,10;0,10;;;;;0,00;;;;;;;;;0,0;0,36;;0,10;3,75;1,80;0,15;0,57;5,20;4;2;1,10;0,00;0,00;;1069,6;208,7;21,9;18,7;;0,8;0,1;1,3;0,1;6,0;5,0;;7,2;;;;184;;1447,50;;14,00;;19,00;;;;;;2951;0,00;;0,00;0,00;2,80;0,00;0,03;2,83;;2,83;0,00;0,00;;;1,50;0,03;0,00;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,33;0,00;5,73;0,00;2,95;0,00;;0,00;;0,00;;0,00;;0,66;0,00;0,81;9,78;;0,00;0,21;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;2,40;0,00;0,21;0,00;0,00;0,07;;;0,00;0,00;0,00;;;;;0,00;;0,00;0,00;;0,00;9,01;11,45;2,68;0,00;;23,14;0,21;2,46;61;2,25;584;1011;1169;292;88;517;405;517;117;719;809;315;877;1146;1888;1259;1079;607;;;5241;8156;0,175;;56,2;0,175;;;;;;0,35;0,0;6,25;0,920;;;64;Kogt, røget, saltet eller tørret kød;Boiled, smoked, cured or dried meat
