FødevareNavn;FoodName;FoodID;TaxonomicName;NCBI;FoodEx2Code;FoodEx2Description;FoodOntology;LangualCode;EurofirFoodClassificationCode;Nøglehulsmærket;FoodGroupID;FødevareGruppe;FoodGroup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Æg, høne, æggehvide, tørret;Eggs, chicken, egg white, dried;225;Gallus gallus domesticus (Linnaeus, 1758);9031;A031T#F28.A07HV$F28.A07KG;Hen egg white, PROCESS = Pasteurisation, PROCESS = Drying (dehydration);FOODON_03305612;A0261,A0461,A0635,A0718,A0725,A0744,A0791,B1713,C0241,E0106,F0022,G0003,H0138,J0116,K0003,M0001,N0001,P0024,Z0001;A0791;0;89;Tørrede æg;Dried egg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eddike;Vinegar;226;NULL;NULL;A044L;Vinegar;FOODON_03301705;A0302,A0463,A0637,A0662,A0722,A0735,A0856,B1140,C0140,E0123,F0003,G0003,H0123,J0003,K0003,M0001,N0001,P0024,Z0001;A0856;0;125;Eddike;Vinegar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madeira;Madeira;228;NULL;NULL;A03NK#F10.A0CQM$F11.A07CL;Madeira, QUALITATIVE-INFO = Sweet / mild, ALCOHOL-CONTENT = 18 % alcohol v/v;FOODON_03310957;A0224,A0465,A0639,A0662,A0712,A0734,A0849,B1329,C0140,E0123,F0003,G0003,H0160,H0232,J0104,K0003,M0130,M0214,M0278,N0040,P0024,Z0001;A0849;0;114;Hedvine;Liqueur wines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campari;Campari;229;NULL;NULL;A03NV;Herb liqueur;FOODON_03316303;A0278,A0465,A0639,A0663,A0713,A0734,A0849,B1016,C0174,E0123,F0001,G0003,H0229,H0232,H0270,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0849;0;114;Hedvine;Liqueur wines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tebirkes;Pastry with poppy seeds;230;NULL;NULL;A00CC#F04.A015J;Pastry based on laminated dough, INGREDIENT = Poppy seeds;FOODON_03301929;A0202,A0458,A0632,A0695,A0768,A0821,B1421,C0132,E0105,F0014,G0005,H0158,H0272,J0003,K0003,M0001,N0001,P0024,Z0001;A0821;0;31;Brød;Bread;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ost, blå- og hvidskimmel, 70+;Cheese, Blue and white mould, 70 % fidm.;231;Bos taurus (Linnaeus, 1758);9913;A030B#F07.A074K;Firm-ripened blue mould-veined cheese, FAT-CONTENT = 44 % fat;FOODON_03306447;A0168,A0313,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0001,G0003,H0107,H0253,H0331,H0367,J0104,J0131,K0003,M0001,N0001,P0024,Z0001;A0785;0;14;Blød løbeost;Soft rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hvidvin, sød;Wine, white, sweet;232;Vitis vinifera (Linnaeus, 1753);29760;A03MV#F10.A0CQM$F11.A07CC;Wine, white, QUALITATIVE-INFO = Sweet / mild, ALCOHOL-CONTENT = 10 % alcohol v/v;FOODON_03310273;A0299,A0465,A0639,A0662,A0712,A0734,A0849,B1329,C0140,E0123,F0003,G0003,H0232,J0100,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0849;0;113;Vine;Wines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitter, uspec.;BITTER, all types, average values;235;NULL;NULL;A03PH#F28.A0CRH$F26.A07XD$F11.A07DA;Vodka and vodka-like spirits, PROCESS = Seasoning, GENERIC-TERM = Unspecified, ALCOHOL-CONTENT = 30 % alcohol v/v;FOODON_03305605;A0278,A0465,A0639,A0663,A0713,A0734,A0850,B1016,C0174,E0123,F0001,G0003,H0229,H0232,H0270,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peber, sort;Pepper, black;236;Piper nigrum (Linnaeus, 1753);13216;A019C;Black pepper;FOODON_03311013;A0113,A0463,A0637,A0653,A0662,A0705,A0731,A0857,B1191,C0158,E0150,F0003,G0003,H0138,J0116,K0003,M0001,N0001,P0024,Z0001;A0857;0;120;Krydderier;Spices;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Øl, mørkt hvidtøl;Beer, Danish household, low alcohol;238;NULL;NULL;A03MF#F10.A0F2Y$F11.A078F;Beer, light, QUALITATIVE-INFO = Dark, ALCOHOL-CONTENT = 1.5 % alcohol v/v;FOODON_03301619;A0195,A0465,A0639,A0663,A0711,A0734,A0847,B1230,C0102,E0123,F0022,G0003,H0151,H0232,H0246,J0135,K0003,M0106,M0214,M0278,N0040,P0024,Z0001;A0847;0;112;Øl og andre maltdrikke;Beer and other malt beverages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitter, Gammel Dansk Bitter Dram;BITTER, Gammel Dansk Bitter Dram;240;NULL;NULL;A03PH#F28.A0CRH$F11.A07DB;Vodka and vodka-like spirits, PROCESS = Seasoning, ALCOHOL-CONTENT = 31 % alcohol v/v;FOODON_03305605;A0278,A0465,A0639,A0663,A0713,A0734,A0850,B1016,C0174,E0123,F0001,G0003,H0229,H0232,H0270,J0104,K0003,M0130,M0214,M0278,N0040,P0024,R0204,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cognac;Brandy, cognac;245;Vitis vinifera (Linnaeus, 1753);29760;A03PE;Brandy;FOODON_03301632;A0200,A0465,A0639,A0662,A0713,A0734,A0850,B1329,C0140,E0123,F0014,G0003,H0232,H0253,H0270,J0104,K0003,M0130,M0214,N0040,P0024,R0219,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hvidvin, mousserende, champagne;Wine, white, sparkling, champagne;246;Vitis vinifera (Linnaeus, 1753);29760;A03NA#F11.A07CC;Champagne-like wine, ALCOHOL-CONTENT = 10 % alcohol v/v;FOODON_03310759;A0299,A0465,A0639,A0662,A0712,A0734,A0849,B1329,C0140,E0123,F0003,G0003,H0232,H0246,J0100,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0849;0;113;Vine;Wines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Svenbo, 45+;Cheese, firm, Svenbo, 45 % fidm.;248;Bos taurus (Linnaeus, 1758);9913;A02SV#F07.A073S;Firm/semi-hard cheese (gouda and edam type), FAT-CONTENT = 29 % fat;FOODON_00002230;A0281,A0312,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0001,G0003,H0101,H0253,H0328,H0367,J0104,J0131,K0003,M0001,N0001,P0024,Z0001;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snaps, krydder-, uspec.;Aquavit, spiced, average values;249;NULL;NULL;A03PH#F28.A0CRH$F11.A07DC;Vodka and vodka-like spirits, PROCESS = Seasoning, ALCOHOL-CONTENT = 32 % alcohol v/v;FOODON_00001817;A0120,A0465,A0639,A0663,A0713,A0734,A0850,B1016,C0174,E0123,F0014,G0003,H0229,H0232,H0270,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sherry, tør;Sherry, dry;250;Vitis vinifera (Linnaeus, 1753);29760;A03NJ#F11.A07CJ;Sherry, ALCOHOL-CONTENT = 16 % alcohol v/v;FOODON_03310760;A0224,A0465,A0639,A0662,A0712,A0734,A0849,B1329,C0140,E0123,F0003,G0003,H0160,H0232,J0104,K0003,M0130,M0214,M0278,N0040,P0024,R0212,Z0001;A0849;0;114;Hedvine;Liqueur wines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oliven, sorte, uden sten, i saltlage;Olives, black, without stones, in brine;251;Olea europaea (Linnaeus, 1753);4146;A01BQ#F06.A06XT$F10.A166Z$F20.A07QK;Table olives ready for consumption, SURROUNDING-MEDIUM = In salt brine, QUALITATIVE-INFO = Black, PART-CONSUMED-ANALYSED = W/o stone;FOODON_03310431;A0143,A0455,A0629,A0663,A0707,A0732,A0834,B1170,C0139,E0150,F0018,G0003,H0173,H0190,J0100,K0018,M0001,N0001,P0024,Z0001;A0834;0;55;Konserves og syltet bær og frugt;Canned fruit products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Øl, Guld-, 5.6 % vol.;Beer, export, alc. 5.6 % by vol.;256;NULL;NULL;A03MD#F11.A07AC;Beer, strong, ALCOHOL-CONTENT = 5.6 % alcohol v/v;FOODON_00001064;A0195,A0465,A0639,A0663,A0711,A0734,A0847,B1230,C0102,E0123,F0022,G0003,H0151,H0232,H0246,J0135,K0003,M0106,M0214,M0278,N0040,P0024,Z0001;A0847;0;112;Øl og andre maltdrikke;Beer and other malt beverages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spirituosa, gennemsnitlige værdier;Spirits, 70 % proof;257;NULL;NULL;A03PD#F11.A07EV;Unsweetened spirits, ALCOHOL-CONTENT = 70 % alcohol v/v;FOODON_00001817;A0277,A0465,A0639,A0663,A0713,A0734,A0850,B1016,C0174,E0123,F0014,G0003,H0232,H0270,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vodka;Vodka;258;NULL;NULL;A03PH;Vodka and vodka-like spirits;FOODON_03305518;A0277,A0465,A0639,A0662,A0713,A0734,A0850,B1016,C0174,E0123,F0014,G0003,H0232,H0270,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skærekage, citronkage;Plain cake, lemon cake;259;NULL;NULL;A00AQ#F04.A01BY;Sponge cake, INGREDIENT = Lemons;FOODON_03311590;A0210,A0458,A0632,A0695,A0729,A0768,A0821,B1421,C0132,E0105,F0014,G0005,H0158,H0272,H0117,H0147,H0186,H0351,J0001,K0003,M0001,N0001,P0024,Z0001;A0821;0;33;Kager;Cakes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bitter, krabask bitter;BITTER, Krabask Bitter;260;NULL;NULL;A03PH#F28.A0CRH$F11.A07DC;Vodka and vodka-like spirits, PROCESS = Seasoning, ALCOHOL-CONTENT = 32 % alcohol v/v;FOODON_03305605;R0335,A0278,A0465,A0639,A0663,A0713,A0734,A0850,B1016,C0174,E0123,F0014,G0003,H0229,H0232,H0270,J0104,K0003,M0130,M0214,M0278,N0040,P0024,R0204,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmentaler, 45+;Cheese, hard, Emmentaler, 45 % fidm.;261;Bos taurus (Linnaeus, 1758);9913;A02YM#F07.A073S;Cheese, emmental, FAT-CONTENT = 29 % fat;FOODON_00001033;A0186,A0311,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0001,G0003,H0101,H0253,H0328,H0367,J0104,J0131,K0003,M0001,N0001,P0024,Z0001;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morgenmadsprodukt, Rice Krispies;Breakfast cereal, Rice Krispies;263;NULL;NULL;A00DR#F10.A077J$F10.A0CJK;Rice, popped, QUALITATIVE-INFO = With added sugar, QUALITATIVE-INFO = With added salt;FOODON_03310835;A0729,A0692,A0768,A0258,A1278,A0816,B1322,C0208,E0153,F0014,G0003,H0173,H0136,H0194,J0116,K0003,M0156,N0036,P0024,Z0112,H0268,M0166;A0816;0;34;Morgenprodukter;Breakfast products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snaps, 40 % vol., uspec.;Aquavit, 40 % vol., average values;264;NULL;NULL;A03PH#F28.A0CRH$F11.A07DL;Vodka and vodka-like spirits, PROCESS = Seasoning, ALCOHOL-CONTENT = 40 % alcohol v/v;FOODON_00001817;A0120,A0465,A0639,A0663,A0713,A0734,A0850,B1016,C0174,E0123,F0014,G0003,H0229,H0232,H0270,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ispind, jordbær;Ice cream, dairy, popsickle, strawberry;266;NULL;NULL;A02QA#F04.A01EA;Ice cream, milk-based, INGREDIENT = Strawberries;FOODON_03305854;A0227,A0454,A0628,A0721,A0724,A0776,A0789,B1201,C0113,E0103,F0018,G0003,H0117,H0136,H0178,J0136,K0003,M0173,N0039,P0024,Z0001;A0789;0;21;Fløde- og mælkeis;Dairy ice cream;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Citronsaft, friskpresset;Lemon juice, fresh;268;Citrus limon (Linnaeus, 1753) (Osbeck, 1768);2708;A03AH;Juice, lemon;FOODON_03305428;A0127,A0455,A0629,A0766,A0708,A0732,A0841,B1275,C0300,E0114,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0841;0;52;Sydfrugt;Tropical or subtropical fruit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esrom, 60+;Cheese, semihard, Esrom, 60 % fidm.;270;Bos taurus (Linnaeus, 1758);9913;A02TX#F07.A074D;Cheese, esrom, FAT-CONTENT = 38 % fat;FOODON_03303533;A0186,A0312,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0001,G0003,H0101,H0253,H0328,H0367,J0104,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flødeyoghurt med frugt, 9 % fedt;Cream yoghurt, 9 % fat, with fruit;271;Bos taurus (Linnaeus, 1758);9913;A02NH#F07.A072K;Yoghurt, cow milk, flavoured, FAT-CONTENT = 9 % fat;FOODON_03307443;A0148,A0452,A0626,A0721,A0724,A0740,A0783,B1201,C0235,E0103,F0018,G0003,H0107,H0122,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0783;0;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tofu, sojabønneost;Tofu, soy bean curd;272;Glycine max (Linnaeus, 1753) (Merrill, 1917);3847;A03TT;Tofu;FOODON_03310553;A0152,A0455,A0629,A0663,A0704,A0730,A0788,B1452,C0133,E0147,F0014,G0003,H0130,J0120,K0003,M0001,N0001,P0024,Z0001;A0788;1;175;Andre produkter af bælgplanter;Other legume products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portvin;Port;273;Vitis vinifera (Linnaeus, 1753);29760;A03NL#F11.A07CJ;Port, ALCOHOL-CONTENT = 16 % alcohol v/v;FOODON_03311271;A0224,A0465,A0639,A0662,A0712,A0734,A0849,B1329,C0140,E0123,F0003,G0003,H0160,H0232,J0104,K0003,M0130,M0214,N0040,P0024,R0335,Z0001;A0849;0;114;Hedvine;Liqueur wines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skærekage, chokoladekage/-pie;Plain cake, chocolate cake;276;NULL;NULL;A00BG;Chocolate cake;FOODON_03305417;A0210,A0458,A0632,A0695,A0729,A0768,A0821,B1421,C0132,E0146,F0014,G0005,H0158,H0272,H0231,H0184,H0186,H0351,J0001,K0003,M0001,N0001,P0024,Z0001;A0821;0;33;Kager;Cakes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bouillon, hønsekød, spiseklar;Bouillon, chicken, prepared;277;NULL;NULL;A043G#F28.A07MR$F03.A06JL;Stock cubes or granulate, chicken, PROCESS = Reconstitution from concentrate, powder or other dehydrated form, PHYSICAL-STATE = Liquid;FOODON_03305080;A0243,A0463,A0637,A0666,A0722,A0735,A0856,B1713,C0170,E0109,F0014,G0014,H0117,H0367,J0100,K0003,M0296,N0039,P0024,Z0001;A0856;0;124;Bouillon, ekstrakter o.l.;Bouillon, extracts and the like;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wienerbrød, kanelsnegl;Danish pastry, cinnamon roll;279;NULL;NULL;A00BL#F04.A019V;Buns, INGREDIENT = Cinnamon bark;FOODON_03302318;A0202,A0458,A0632,A0768,A0695,A0729,A0821,B1312,C0132,E0147,F0014,G0005,H0117,H0158,H0272,J0120,J0146,K0003,M0001,N0001,P0024,Z0001;A0821;0;33;Kager;Cakes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wienerbrød, uspec.;Danish pastry, average values;280;NULL;NULL;A00CC#F26.A07XD;Pastry based on laminated dough, GENERIC-TERM = Unspecified;FOODON_03301929;A0202,A0458,A0632,A0768,A0695,A0729,A0821,B1312,C0132,E0147,F0014,G0005,H0148,H0158,H0272,J0120,K0003,M0001,N0001,P0024,Z0001;A0821;0;33;Kager;Cakes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skærekage, formkage, uspec.;Plain cake, average values;281;NULL;NULL;A00AQ#F26.A07XD;Sponge cake, GENERIC-TERM = Unspecified;FOODON_03302767;A0210,A0458,A0632,A0695,A0729,A0768,A0821,B1421,C0132,E0146,F0014,G0005,H0117,H0158,H0184,H0272,H0186,H0351,J0001,K0003,M0001,N0001,P0024,Z0001;A0821;0;33;Kager;Cakes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop corn, traditionelle;Pop corn, oil and salt added, traditional;282;NULL;NULL;A00DC#F10.A0CJK;Popcorn (maize, popped), QUALITATIVE-INFO = With added salt;FOODON_03302179;A0228,A0466,A0640,A0663,A0696,A0729,A0868,B1454,C0133,E0131,F0014,G0009,G0025,H0138,H0173,H0221,H0268,J0116,K0003,M0144,N0017,P0024,Z0001;A0868;0;143;Chips og snacks;Potato chip and snacks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bulgur, parboiled, rå;Bulgur, parboiled, raw;283;Triticum aestivum (Linnaeus, 1753);4565;A004G;Bulgur;FOODON_00003143;A0149,A0457,A0631,A0683,A0696,A0729,A0814,B1312,C0134,E0100,F0018,G0003,H0138,H0220,J0116,K0003,M0166,N0036,P0024,Z0001;A0814;1;28;Korn og gryn;Grain and groats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linsespirer, rå;Lentils, sprouted, raw;285;Lens culinaris (Medikus, 1787);3864;A00SP;Lentil sprouts;FOODON_00001997;A0152,A0455,A0629,A0650,A0704,A0730,A0831,B1268,C0183,E0150,F0003,G0003,H0003,J0001,K0003,M0001,N0001,P0024,Z0001;A0831;1;171;Friske bælgplanter;Fresh legumes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Whisky;Whisky;286;NULL;NULL;A03PF;Whisky;FOODON_03302775;A0277,A0465,A0639,A0662,A0713,A0734,A0850,B1230,C0155,E0123,F0014,G0003,H0229,H0232,H0270,J0104,K0003,M0130,M0214,N0040,P0024,Z0001;A0850;0;116;Spiritus;Spirits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spegepølse, oksekød;Sausage, beef salami;287;Bos taurus (Linnaeus, 1758);9913;A024X#F04.A01QV;Salami-type sausage, INGREDIENT = Bovine fresh meat;FOODON_03312067;A0221,A0459,A0633,A0667,A0714,A0726,A0798,B1201,C0175,E0147,F0018,G0012,H0118,H0151,H0367,J0100,J0131,J0106,J0116,K0003,M0001,N0001,P0024,Z0001;A0798;0;65;Pålægsvarer;Cold cuts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Havarti, 60+;Cheese, semihard, Havarti, 60 % fidm.;291;Bos taurus (Linnaeus, 1758);9913;A02TP#F07.A074D;Cheese, cream havarti, FAT-CONTENT = 38 % fat;FOODON_03303534;A0186,A0312,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0018,G0003,H0101,H0253,H0328,H0367,J0104,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Øl, skatteklasse 3, uspec.;Beer, strong, alc. 7.6 % by vol.;296;NULL;NULL;A03MD#F11.A07BA;Beer, strong, ALCOHOL-CONTENT = 7.6 % alcohol v/v;FOODON_00001064;A0195,A0465,A0639,A0663,A0711,A0734,A0847,B1230,C0102,E0123,F0022,G0003,H0151,H0232,H0246,J0135,K0003,M0106,M0214,M0278,N0040,P0024,Z0001;A0847;0;112;Øl og andre maltdrikke;Beer and other malt beverages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrnet fløde 9 % (Fraiche 9%);Cream, cultured, 9 % fat  (Fraiche 9%);300;Bos taurus (Linnaeus, 1758);9913;A02NB#F07.A072K;Sour cream, plain, FAT-CONTENT = 9 % fat;FOODON_03301491;A0148,A0452,A0626,A0721,A0724,A0774,A0782,B1201,C0195,E0123,F0018,G0003,H0101,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0782;0;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pølse, tepølse;Pork/beef sausage, teewurst;301;NULL;NULL;A024S#F28.A07JV$F04.A01RG$F04.A022X;Teewurst-type sausage, PROCESS = Smoking, INGREDIENT = Pig fresh meat, INGREDIENT = Bacon;FOODON_00001605;A0221,A0459,A0633,A0667,A0714,A0726,A0798,B1136,C0164,E0147,F0022,G0001,H0138,H0151,H0367,J0100,J0131,J0116,J0123,K0003,M0001,N0001,P0024,Z0001;A0798;0;65;Pålægsvarer;Cold cuts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hasselnød, tørret;Hazelnut, dried;302;Corylus avellana (Linnaeus, 1753);13451;A0F0N#F27.A014L$F20.A07QD;Dried nuts/seeds and related flours and powders, SOURCE-COMMODITIES = Hazelnuts, PART-CONSUMED-ANALYSED = W/o shell;FOODON_00003418;A0260,A0455,A0629,A0685,A0703,A0730,A0823,B1533,C0135,E0150,F0001,G0003,H0138,J0116,K0014,M0166,N0036,P0024,Z0001;A0823;1;53;Nødder;Nuts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fløde 9 %;Cream, 9 % fat;303;Bos taurus (Linnaeus, 1758);9913;A02ML#F28.A07HV$F28.A07LJ$F07.A072K;Cream, plain, PROCESS = Pasteurisation, PROCESS = Homogenizing or emulsifying, FAT-CONTENT = 9 % fat;FOODON_03301486;A0148,A0452,A0626,A0721,A0724,A0774,A0782,B1201,C0195,E0123,F0018,G0003,H0001,J0131,J0135,K0003,M0142,N0017,P0024,Z0001;A0782;0;4;Usyrnede mælkeprodukter;Unfermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pasta, rå;Pasta, raw;305;NULL;NULL;A007L;Dried pasta;FOODON_03306312;A0275,A0457,A0631,A0662,A0694,A0729,A0815,B1079,C0132,E0153,F0003,G0003,H0138,J0116,K0003,M0001,N0001,P0024,Z0001;A0815;0;35;Pastaprodukter;Pasta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kvark, 5+;Cheese, Quark, 5 % fidm.;307;Bos taurus (Linnaeus, 1758);9913;A02QK#F07.A06YL;Quark, FAT-CONTENT = 0.3 % fat;FOODON_03316028;A0185,A0314,A0452,A0626,A0720,A0724,A0775,A0786,B1201,C0245,E0119,F0018,G0003,H0101,J0104,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0786;1;12;Blød surmælksost;Soft sour milk cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grana, 32+;Cheese, hard, Grana, 32 % fidm.;308;Bos taurus (Linnaeus, 1758);9913;A02ZQ#F07.A073M;Cheese, grana padano, FAT-CONTENT = 24 % fat;FOODON_00002920;A0186,A0311,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0018,G0003,H0101,H0253,H0328,H0367,J0104,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parmesan, 32+;Cheese, hard, Parmesan, 32 % fidm.;309;Bos taurus (Linnaeus, 1758);9913;A02ZH#F07.A073M;Extra hard cheese (parmesan, grana type), FAT-CONTENT = 24 % fat;FOODON_00003247;A0290,A0311,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0018,G0003,H0101,H0253,H0328,H0367,J0104,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
